0	102
1	102
2	112
3	118
4	122
5	125
6	128
7	131
8	133
9	136
10	138
11	140
12	141
13	143
14	145
15	146
16	148
17	149
18	151
19	152
20	153
21	155
22	156
23	157
24	158
25	159
26	160
27	161
28	162
29	163
30	164
31	165
32	166
33	167
34	168
35	168
36	169
37	170
38	171
39	172
40	172
41	173
42	174
43	174
44	175
45	175
46	176
47	177
48	177
49	178
50	178
51	179
52	179
53	180
54	180
55	181
56	181
57	181
58	182
59	182
60	183
61	183
62	183
63	184
64	184
65	184
66	185
67	185
68	185
69	185
70	185
71	186
72	186
73	186
74	186
75	186
76	187
77	187
78	187
79	187
80	187
81	187
82	187
83	187
84	187
85	187
86	187
87	187
88	187
89	187
90	187
91	187
92	187
93	187
94	187
95	187
96	187
97	187
98	187
99	187
100	186
101	186
102	186
103	186
104	186
105	186
106	185
107	185
108	185
109	185
110	184
111	184
112	184
113	184
114	183
115	183
116	183
117	182
118	182
119	182
120	181
121	181
122	181
123	180
124	180
125	180
126	179
127	179
128	178
129	178
130	177
131	177
132	176
133	176
134	175
135	175
136	174
137	174
138	173
139	173
140	172
141	172
142	171
143	171
144	170
145	169
146	169
147	168
148	168
149	167
150	166
151	166
152	165
153	164
154	164
155	163
156	162
157	162
158	161
159	160
160	159
161	159
162	158
163	157
164	156
165	155
166	155
167	154
168	153
169	152
170	151
171	151
172	150
173	149
174	148
175	147
176	146
177	145
178	144
179	143
180	142
181	141
182	140
183	139
184	138
185	137
186	136
187	135
188	134
189	133
190	132
191	130
192	129
193	128
194	127
195	125
196	124
197	122
198	121
199	119
200	117
201	115
202	112
203	109
204	102
